tower_id,operator,technology,has_3g,has_4g,has_5g,power_class,station_type,is_indoor,E_LV95,N_LV95,lat_wgs84,lon_wgs84,source
TOWER_2383,Swisscom GPUM,"Technology 3G,4G",True,True,False,low,Indoor ≤ 6 Werp,True,2499735,1116800,46.195191,6.139761,BAKOM/geo.admin.ch (22.02.26)
TOWER_2384,Salt VD_1221A,"Technology 3G,4G",True,True,False,medium,Outdoor > 6 Werp,False,2501146,1133406,46.34476,6.154516,BAKOM/geo.admin.ch (22.02.26)
TOWER_2385,Swisscom EYSI,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2504883,1137479,46.381934,6.202218,BAKOM/geo.admin.ch (22.02.26)
TOWER_2386,Swisscom BXLY,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2495456,1113068,46.160974,6.085174,BAKOM/geo.admin.ch (22.02.26)
TOWER_2387,Swisscom EPIN,"Technology 3G,4G",True,True,False,medium,Outdoor > 6 Werp,False,2567574,1116545,46.19958,7.018559,BAKOM/geo.admin.ch (22.02.26)
TOWER_2388,Sunrise VD117-1,"Technology 4G,5G",False,True,True,medium,Outdoor > 6 Werp,False,2538058,1152345,46.519538,6.631431,BAKOM/geo.admin.ch (22.02.26)
TOWER_2389,Swisscom GENS,"Technology 4G,5G",False,True,True,medium,Outdoor > 6 Werp,False,2499704,1116998,46.196967,6.139317,BAKOM/geo.admin.ch (22.02.26)
TOWER_2390,Swisscom FCOM,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2502603,1132516,46.336968,6.173626,BAKOM/geo.admin.ch (22.02.26)
TOWER_2391,Swisscom GICC,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2496830,1120125,46.224658,6.101402,BAKOM/geo.admin.ch (22.02.26)
TOWER_2392,Swisscom GIVN,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2498343,1145588,46.453911,6.115444,BAKOM/geo.admin.ch (22.02.26)
