stop_name,lat_wgs84,lon_wgs84,station_id,gtfs_stop_ids
"Pully, Montillier",46.512364,6.657656,,8592188:
"Pully, Perraudettaz",46.514041,6.654283,,8592190:
"Lutry, Rive",46.501373,6.689863,,8592160:
"Lausanne, Montbenon",46.519797,6.62966,,8579253:
"Lausanne, Benj. Constant",46.519348,6.63746,,8591991:
"Lausanne, Mon Repos",46.518816,6.641091,,8592074:
"Lausanne, Chandolin",46.5175,6.64455,,8592009:
"Lausanne, Mousquines",46.516835,6.64714,,8592083:
"Lausanne, Floreyres",46.517142,6.648673,,8592045:
"Lausanne, Verdeil",46.518238,6.649687,,8592129:
"Lausanne, Provence nord",46.524134,6.606135,,8592105:
"Lausanne,Vallée de la Jeunesse",46.52329,6.607686,,8593844:
"Lausanne, Provence sud",46.521738,6.608257,,8592106:
"Lausanne, Cottages",46.521311,6.610036,,8592021:
"Lausanne, Montelly",46.521822,6.61356,,8501207:
"Lausanne, Belvédère",46.520903,6.617132,,8591990:
"Lausanne, Tivoli",46.52116,6.621598,,8592122:
"Lausanne, Barre",46.52575,6.636026,,8591982:
"Lausanne, Vulliemin",46.527727,6.634077,,8592138:
"Lausanne, Petit Château",46.527656,6.635538,,8592091:
"Lausanne, Hermitage",46.53018,6.63623,,8592059:
"Lausanne, Lisière",46.532429,6.637514,,8592067:
"Lausanne, Signal",46.532585,6.640457,,8592115:
"Lausanne, Chocolatière",46.536339,6.640858,,8592016:
"Lausanne, Lac Sauvabelin",46.53799,6.639048,,8592063:
"Lausanne, Cascades",46.540156,6.641206,,8592137:
"Lausanne, Libellules",46.540716,6.644157,,8592066:
"Lausanne, Grand Vennes",46.54011,6.646239,,8592054:
"Renens VD, Perrelet",46.530401,6.597012,,8592217:
"Renens VD, Croisée/Tilleuls",46.533597,6.590738,,8592223:
"Renens VD, Sous l'Eglise",46.535069,6.588668,,8592221:
"Renens VD, Hôtel-de-Ville/ECAL",46.536005,6.585603,,8592213:
"Renens VD, Avenir",46.538549,6.582791,,8592202:
"Renens VD, 14 Avril",46.53932,6.57971,,8588839:
"Crissier, Jura",46.542006,6.573266,,8593815:
"Crissier, Vernie",46.543764,6.570587,,8591939:
"Crissier, Arc-en-Ciel",46.545373,6.567723,,8591935:
"Bussigny, Croix de Plan",46.548084,6.563481,,8591930:
"Bussigny, Buyère",46.549942,6.56353,,8591931:
"Bussigny, Cocagne",46.554729,6.561821,,8594177:
"Bussigny, Rente",46.55709,6.562422,,8594178:
"Villars-Ste-Croix, Croix-Péage",46.561162,6.565512,,8588846:A
"Lausanne, Vigie",46.521537,6.623926,,8592133:
"Lausanne, Ecole des Métiers",46.524736,6.614621,,8592036:
"Lausanne, EPSIC",46.523482,6.620057,,8592041:
"Lausanne, Couchirard",46.525139,6.613145,,8592022:
"Lausanne, Port-Franc",46.5222,6.626956,,8592098:
"Renens VD, Florissant",46.530671,6.598779,,8592211:
"Renens VD, Roche",46.532764,6.598493,,8511874:
"Renens VD, Vorsiaz",46.535318,6.598156,,8592207:
"Renens VD, Bourg-Dessus",46.538228,6.594824,,8592206:
"Renens VD, Sur-la-Croix",46.541405,6.593238,,8592222:
"Renens VD, Baumettes",46.543921,6.590001,,8592203:
"Renens VD, Biondes",46.546034,6.58502,,8592204:
"Crissier, Place Centrale",46.549898,6.579546,,8588842:
"Crissier, bourg",46.553541,6.57714,,8588843:
"Crissier, Timonet",46.555764,6.573698,,8588845:A
"Lausanne, Clochatte",46.542781,6.638481,,8592019:
"Lausanne, Piécettes",46.54174,6.636267,,8592092:
"Lausanne, Pavement",46.541122,6.634138,,8592089:
"Lausanne, Beau-Site",46.534909,6.620739,,8591987:
"Lausanne, Grattapaille",46.536686,6.618887,,8592056:
"Lausanne, Bossons",46.539337,6.617256,,8592000:
"Paudex, Verrière",46.505808,6.67104,,8592168:
"Pully, Vignes",46.507219,6.665509,,8592199:
