nom;nb_places;type;type_txt;duree_max;url;geometry
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2538410.000569102 1152865.3836708167)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2538819.0501889717 1153168.1964740953)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2536506.5068432917 1151709.2015514597)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2536673.5850931187 1152932.6910082763)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2535335.940906628 1152294.4159835125)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2535272.9790948234 1152259.302251312)
;1;11;Autocars;3h;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2538405.713948631 1153593.4673556224)
;1;11;Autocars;2h;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2538186.6875866554 1151340.9148343694)
;1;11;Autocars;2h;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2538242.6144171953 1151276.596732081)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2538041.424702157 1152416.7292662107)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2538046.7017539837 1152416.700741606)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2538146.6743862443 1154309.3872486162)
;5;11;Autocars;24h;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2537428.4521107627 1154120.8283037827)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2538543.90938561 1151987.848868666)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2538226.380703226 1154229.0932579201)
