rank,title,url,organization,relevance_score,spatial_score,name_match_score,thematic_score,usability_score,matched_places,matched_themes,formats,zurich_relevant,description
3207,Jeux de données de test HRDF directives de réalisation 2.0.6 et 2.0.7,https://opendata.swiss/en/dataset/testdatensatze-realisierungsvorgaben-hrdf-2-0-6-und-2-0-7,Secrétariat des tâches du système d’information à la clientèle (CFF SA),22.69,30.0,0.0,18.75,60.0,,transport,ZIP,False,Il s'agit d'un ensemble de données de test pour les modifications apportées par la version 2.0.6 / 2.0.7.    Les données 2023 et antérieures se trouvent dans nos archives de données : https://archive.
3208,(Beta) Plan de l'offre HRDF pour le trafic à la demande,https://opendata.swiss/en/dataset/beta-angebotsplan-hrdf-fur-on-demand-verkehre,Secrétariat des tâches du système d’information à la clientèle (CFF SA),22.69,30.0,0.0,18.75,60.0,,transport,ZIP,False,"Le plan d'offre pour les offres On-Demand (transport à la demande) en Suisse. Avec ces offres, les clients* peuvent réserver un trajet (le plus souvent) indépendamment d'un horaire. Les offres sont gé"
3209,Collections numérisées,https://opendata.swiss/en/dataset/digitalisierte-sammlungen1,Bibliothèque nationale suisse BN,22.69,30.0,0.0,18.75,60.0,,transport,"PDF, XML",False,"Les collections numérisées proposées dans ce portail comprennent plus de 8'500 livres mis à disposition en format PDF, avec une reconnaissance de caractères intégrée. Ces textes sont accessibles au mo"
3210,Verkehr Netzbelastung Kanton Schaffhausen,https://opendata.swiss/en/dataset/netzbelastung-verkehr,Office de la géoinformation du canton de Schaffhouse,22.69,10.0,0.0,18.75,100.0,,transport,"WFS, WMS, ZIP",False,"Die «Netzbelastung» stellt das durchschnittliche tägliche Verkehrsaufkommen (DTV, alle Wochentage Montag-Sonntag) im motorisierten Individualverkehr (MIV) auf einem Streckenabschnitt dar. Die Netzbela"
3211,Verkehr Kantonsstrassen Kanton Schaffhausen,https://opendata.swiss/en/dataset/verkehr-kantonsstrassen-kanton-schaffhausen,Office de la géoinformation du canton de Schaffhouse,22.69,10.0,0.0,18.75,100.0,,transport,"WFS, WMS, ZIP",False,Aufteilung der Kantonsstrassenachsen nach Strassentyp.
3212,Verkehr Skatingrouten Kanton Schaffhausen,https://opendata.swiss/en/dataset/verkehr-skatingrouten-kanton-schaffhausen,Office de la géoinformation du canton de Schaffhouse,22.69,10.0,0.0,18.75,100.0,,transport,"WFS, WMS, ZIP",False,Informationen über das Skatingroutennetz im Kanton Schaffhausen.
3213,Verkehr Messstellen Verkehrszählung Kanton Schaffhausen,https://opendata.swiss/en/dataset/verkehr-messstellen-verkehrszahlung-kanton-schaffhausen,Office de la géoinformation du canton de Schaffhouse,22.69,10.0,0.0,18.75,100.0,,transport,"WFS, WMS",False,"Verkehrsmessungen (auch Verkehrszählungen) dienen der Ermittlung der Anzahl Fahrzeuge, die einen Strassenquerschnitt in einem bestimmten Zeitraum passieren. Verkehrsmessstellen können dauerhaft oder p"
3214,Entreprises marchandes selon les grandes régions et la forme juridique,https://opendata.swiss/en/dataset/marktwirtschaftliche-unternehmen-nach-grossregion-und-rechtsform4,Office fédéral de la statistique OFS,22.69,10.0,0.0,18.75,100.0,,population,"HTML, XLS",False,
3215,Entreprises marchandes selon la division économique et la forme juridique,https://opendata.swiss/en/dataset/marktwirtschaftliche-unternehmen-nach-wirtschaftsabteilungen-und-rechtsform5,Office fédéral de la statistique OFS,22.69,10.0,0.0,18.75,100.0,,population,"CSV, HTML, ODS",False,"Ce dataset présente les données annuelles du nombre d'entreprises marchandes selon l'activité économique et la forme juridique, depuis 2011. Les descriptions des variables du fichier CSV sont disponib"
3216,,https://opendata.swiss/en/dataset/daily-cycles-in-solar-flux-snowmelt-transpiration-groundwater-and-streamflow-at-sagehen-and-ind,EnviDat: le portail de données environnementales,22.69,30.0,0.0,18.75,60.0,,population,"PDF, TXT",False,
3217,Aspects juridiques des médias: Autorité indépendante d'examen des plaintes en matière de radio-télévision (AIEP): plaintes et décisions,https://opendata.swiss/en/dataset/medienrechtliche-aspekte-unabhangige-beschwerdeinstanz-fur-radio-und-fernsehen-ubi-verfahren-un4,Office fédéral de la statistique OFS,22.69,10.0,0.0,18.75,100.0,,population,"HTML, XLS",False,"Depuis 2023, l’OFS n’actualise plus ses données récoltées concernant les aspects juridiques des médias mais renvoie aux institutions spécialisées dans le domaine. Pour de plus amples informations, vou"
