station_id,name,lat_wgs84,lon_wgs84,provider_id,address,capacity,vehicle_types,is_virtual
donkey_ge:21340,Rue Hoffmann,46.214695,6.1302304,donkey_ge,", ",8,,False
donkey_ge:21855,Concorde,46.205856,6.1114244,donkey_ge,,7,,False
donkey_ge:22323,Av. Soret 33,46.211426,6.121844,donkey_ge,,5,,False
donkey_ge:21508,Devin du Village,46.203453,6.1230235,donkey_ge,,8,,False
donkey_ge:18845,Champel ,46.190773,6.1526666,donkey_ge,,4,,False
donkey_ge:22281,Champendale,46.19176,6.1663265,donkey_ge,,4,,False
donkey_ge:21475,Uni Bastions,46.198753,6.1441603,donkey_ge,", ",8,,False
donkey_ge:18414,Gare de Champel - Hôpitaux,46.192936,6.1506877,donkey_ge,,15,,False
donkey_ge:21489,Beulet,46.205505,6.12569,donkey_ge,,5,,False
donkey_ge:23254,Stade des Tattes,46.193455,6.1019363,donkey_ge,,3,,False
donkey_ge:27370,Cagi_Event,46.22539,6.132907,donkey_ge,,3,,False
donkey_ge:20187,Vélodrome ( Champ-Ravy),46.171093,6.1120543,donkey_ge,,5,,False
donkey_ge:21860,Adolphe-Pasteur,46.22075,6.129202,donkey_ge,,5,,False
donkey_ge:21449,Ansermet - Bains,46.19643,6.1345487,donkey_ge,,6,,False
donkey_ge:21468,Hôpital 2,46.194256,6.1485443,donkey_ge,", ",8,,False
donkey_ge:22141,Solitude,46.19009,6.115146,donkey_ge,,6,,False
donkey_ge:21997,Rue du Jura,46.210236,6.1352973,donkey_ge,,4,,False
donkey_ge:20855,Palais des Nations - Portail Pregny,46.22746,6.1384997,donkey_ge,,8,,False
donkey_ge:21451,École de Médecine 20,46.19601,6.13688,donkey_ge,,10,,False
donkey_ge:18801,Léonard-Baulacre 20,46.21526,6.1398215,donkey_ge,,4,,False
donkey_ge:22008,Casa Tiki,46.200214,6.1309037,donkey_ge,,4,,False
donkey_ge:21464,Aubepine,46.187927,6.1461306,donkey_ge,,5,,False
donkey_ge:20160,HP,46.226803,6.0559874,donkey_ge,", ",10,,False
donkey_ge:18543,Place des Eaux-Vives,46.20231,6.1563644,donkey_ge,,8,,False
donkey_ge:21919,Av. Peschier 34,46.190647,6.160149,donkey_ge,,3,,False
donkey_ge:33089,Horlogers,46.184387,6.143431,donkey_ge,,3,,False
donkey_ge:22011,Dancet 22,46.192535,6.142298,donkey_ge,,5,,False
donkey_ge:29051,Joli-Mont,46.221832,6.1174893,donkey_ge,,3,,False
donkey_ge:18490,Dancet 1,46.19452,6.1418347,donkey_ge,,8,,False
donkey_ge:18516,Jean-Jaquet,46.213867,6.151139,donkey_ge,", ",10,,False
donkey_ge:21496,Trembley,46.21878,6.126929,donkey_ge,,3,,False
donkey_ge:21455,Dancet,46.193665,6.1420417,donkey_ge,,6,,False
donkey_ge:21452,Ecole de Médecine 16,46.196533,6.137587,donkey_ge,,8,,False
donkey_ge:23900,Stade des Fraisiers,46.174397,6.1131797,donkey_ge,,3,,False
donkey_ge:22344,Quai de Cologny 1,46.215004,6.175626,donkey_ge,,5,,False
donkey_ge:22373,Rue Ferrier,46.21605,6.1466603,donkey_ge,", ",2,,False
donkey_ge:20671,Théâtre Carouge,46.18133,6.142794,donkey_ge,,7,,False
donkey_ge:22423,Eaux-Vives 2000,46.200478,6.1594872,donkey_ge,,5,,False
donkey_ge:21466,Maternité,46.19116,6.14602,donkey_ge,,8,,False
donkey_ge:22139,Chemin du Gué 63d,46.187126,6.118139,donkey_ge,,5,,False
donkey_ge:22076,Oscar-Bider,46.220673,6.106477,donkey_ge,,5,,False
donkey_ge:22342,Quai de Cologny 3,46.217285,6.177231,donkey_ge,,5,,False
donkey_ge:18841,Délices 2,46.20617,6.132876,donkey_ge,,6,,False
donkey_ge:20719,Boulevard des Tranchées 24,46.196674,6.1531467,donkey_ge,,4,,False
donkey_ge:32091,Cycle du Marais,46.1842,6.095766,donkey_ge,", ",6,,False
donkey_ge:21910,Franz-Liszt,46.19885,6.149483,donkey_ge,,3,,False
donkey_ge:18570,Place de la Navigation,46.211525,6.1495786,donkey_ge,,10,,False
donkey_ge:21949,François-Bartholoni,46.20073,6.1429667,donkey_ge,,5,,False
donkey_ge:27930,Anciens bains,46.28035,6.167008,donkey_ge,", ",5,,False
donkey_ge:18563,Route de Meyrin 122,46.219875,6.105968,donkey_ge,,6,,False
donkey_ge:22121,P+R Vailly,46.175125,6.060651,donkey_ge,", ",10,,False
donkey_ge:21963,Plantamour 22,46.210407,6.1498046,donkey_ge,,5,,False
donkey_ge:27952,Chemin de la Roselière,46.255547,6.1431603,donkey_ge,,6,,False
donkey_ge:18572,Rue des Allobroges 5,46.18801,6.1397314,donkey_ge,,6,,False
donkey_ge:21315,Soret - Soubeyran,46.211243,6.123648,donkey_ge,,6,,False
donkey_ge:21922,Hôpital Beau-Séjour,46.18875,6.150432,donkey_ge,,4,,False
donkey_ge:22294,Crêts de Champel 34,46.18687,6.1566577,donkey_ge,,3,,False
donkey_ge:21867,Seujet,46.20412,6.133879,donkey_ge,,5,,False
